id,category,facility_id,facility_name,course_id,course_title,sentiment,text,rating,timestamp
1,services,4,Tutoring Center,,,positive,Tutoring Center staff was so helpful when I needed assistance with registration.,5,2/5/2025
2,services,3,Career Services,,,positive,The online appointment system for Career Services makes it easy to get help.,5,2/5/2025
3,study_spaces,1,Main Library,,,positive,The WiFi at Main Library is super fast and reliable.,4,3/2/2025
4,services,2,Counseling Center,,,positive,I highly recommend using Counseling Center if you're struggling with classes.,4,3/10/2025
5,dining,6,Library Café,,,positive,Library Café has the best food on campus. Try the special on Wednesdays!,5,2/25/2025
6,services,4,Tutoring Center,,,positive,The online appointment system for Tutoring Center makes it easy to get help.,4,1/30/2025
7,study_spaces,6,Business School Lounge,,,positive,I love Business School Lounge! Always plenty of outlets and comfortable seating.,5,3/13/2025
8,services,1,IT Help Desk,,,positive,The online appointment system for IT Help Desk makes it easy to get help.,5,3/4/2025
9,courses,,,1040,BIO 133,neutral,Dr. Brown for BIO 133 is fair but not the most engaging.,3,2/18/2025
10,recreation,3,Swimming Pool,,,positive,The staff at Swimming Pool is super helpful with showing how to use equipment.,5,1/24/2025
11,services,4,Tutoring Center,,,positive,The advisors at Tutoring Center really care about helping students succeed.,4,2/20/2025
12,services,4,Tutoring Center,,,neutral,The staff at Tutoring Center is knowledgeable but sometimes seems rushed.,3,2/28/2025
13,courses,,,1080,BUS 270,negative,Dr. Johnson goes too fast in BUS 270. Hard to keep up.,2,2/14/2025
14,study_spaces,1,Main Library,,,positive,Main Library has the perfect atmosphere for getting work done.,5,3/6/2025
15,study_spaces,3,Student Union Lounge,,,positive,"I can always find a spot at Student Union Lounge, even during finals week.",4,2/19/2025
16,courses,,,1069,PHYS 227,positive,PHYS 227 has really engaging discussions and useful assignments.,4,1/22/2025
17,recreation,4,Student Union Game Room,,,positive,Student Union Game Room has awesome hours. I can go early before classes.,4,2/14/2025
18,recreation,4,Student Union Game Room,,,positive,Student Union Game Room has great equipment and is usually not too crowded.,4,1/26/2025
